127.0.0.1 - - [07/Oct/2023:13:29:33 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:30:06 +0530] "GET /Day HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:30:08 +0530] "GET /Day/ HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:30:08 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:30:13 +0530] "GET /Day/Day.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:32:04 +0530] "GET /Day/ HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:32:04 +0530] "GET /Day/ HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:32:05 +0530] "GET /Day/ HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:32:05 +0530] "GET /Day/ HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:32:14 +0530] "GET /Day HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:32:14 +0530] "GET /Day/ HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:32:21 +0530] "GET /Day/index. HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:32:24 +0530] "GET /Day/Day.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:34:09 +0530] "GET /Day/ HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:34:09 +0530] "GET /Day/ HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:34:09 +0530] "GET /Day/ HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:43:14 +0530] "GET /Day/ HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:43:14 +0530] "GET /Day/ HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:43:15 +0530] "GET /Day/ HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:43:15 +0530] "GET /Day/ HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:43:16 +0530] "GET /Day/Day.jsp HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:43:19 +0530] "GET /Day/rohan?date=&month=&year=&days= HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:43:50 +0530] "GET /Day/Day.jsp HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:44:32 +0530] "GET /Day/rohan?date=3&month=2&year=2023&days=3 HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [07/Oct/2023:13:44:56 +0530] "GET /Day/index.jsp HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [07/Oct/2023:19:36:34 +0530] "GET /Day/Day.jsp HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [07/Oct/2023:19:36:36 +0530] "GET /Day/rohan?date=&month=&year=&days= HTTP/1.1" 404 764
